,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
  N° , Región           , Estado                ,  Meta , Instalación ,    %    
1, Oriente          , **Sucre**             ,288,168,"58,00 %"
2, Capital Centro   , Miranda               ,954,360,"38,00 %"
3, Occidente        , Falcón                ,756,283,"37,00 %"
4, Centro Occidente , Lara                  ,630,234,"37,00 %"
5, Centro Occidente , Cojedes               ,210,65,"31,00 %"
6, Oriente          , Anzoátegui            ,1296,375,"29,00 %"
7, Occidente        , Mérida                ,630,181,"29,00 %"
8, Centro Occidente , Barinas               ,1134,325,"29,00 %"
9, Oriente          , Bolívar               ,648,177,"27,00 %"
10, Oriente          , Nueva Esparta         ,684,183,"27,00 %"
11, Oriente          , Monagas-Delta Amacuro ,684,157,"23,00 %"
12, Occidente        , Táchira               ,1134,236,"21,00 %"
13, Capital Centro   , Guárico               ,636,128,"20,00 %"
14, Capital Centro   , Aragua                ,1113,217,"19,00 %"
15, Capital Centro   , Apure-Amazonas        ,636,122,"19,00 %"
16, Capital Centro   , La Guaira             ,636,116,"18,00 %"
17, Occidente        , Trujillo              ,567,101,"18,00 %"
18, Centro Occidente , Portuguesa            ,1176,180,"15,00 %"
19, Capital Centro   , Carabobo              ,2385,278,"12,00 %"
20, Capital Centro   , **Gran Caracas**      ,9540,1014,"11,00 %"
21, Centro Occidente , Yaracuy               ,1050,111,"11,00 %"
22, Occidente        , **Zulia**             ,3213,280,"9,00 %"
