,,,,,,
,,,,,,
,,,,,,
,,,,,,
,📊 TOP 5 CON MAYOR CUMPLIMIENTO,,,,,
,  N° , Región           , Estado    , Meta , Instalación ,    %    
,1, Oriente          , **Sucre** ,23,22,"95,00 %"
,2, Centro Occidente , Cojedes   ,17,14,"83,00 %"
,3, Capital Centro   , Miranda   ,76,46,"60,00 %"
,4, Oriente          , Bolívar   ,52,31,"60,00 %"
,5, Occidente        , Mérida    ,50,23,"46,00 %"
,,,,,,
,📊 TOP 5 CON MENOR CUMPLIMIENTO,,,,,
,  N° , Región           , Estado       , Meta , Instalación ,    %    
,1, Occidente        , **Zulia**    ,257,27,"11,00 %"
,2, Capital Centro   , Gran Caracas ,763,114,"15,00 %"
,3, Centro Occidente , Yaracuy      ,84,13,"15,00 %"
,4, Capital Centro   , Carabobo     ,191,30,"16,00 %"
,5, Centro Occidente , Portuguesa   ,94,17,"18,00 %"
,,,,,,
,,,,,,
,,,,,,
,, Métrica                         , Valor                      ,,,
,, ------------------------------- , -------------------------- ,,,
,, **Mejor desempeño**             , Sucre (95%)                ,,,
,, **Peor desempeño**              , Zulia (11%)                ,,,
,, **Brecha entre extremos**       , **84 puntos porcentuales** ,,,
,, **Meta más alta (top 5 menor)** , Gran Caracas (763)         ,,,
,, **Meta más baja (top 5 mayor)** , Cojedes (17)               ,,,
