,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
grupo_geografico,REGIONAL,CANTIDAD DE OFICINAS,2025,Distribución 2025,"202600,00 %",Distribución 2026,Mestas 2026 USD
Grupo A,CARABOBO,14,1013,12%,"50,00 %",10%,1590
Grupo A,GRAN CARACAS,30,4395,54%,"50,00 %",68%,10812
Grupo A,MIRANDA,13,507,6%,"50,00 %",5%,795
Grupo A,LA GUAJIRA,4,448,6%,"50,00 %",4%,636
Grupo A,ARAGUA,13,653,8%,"50,00 %",5%,795
Grupo A,GUÁRICO,14,528,7%,"50,00 %",4%,636
Grupo A,AMAZONAS,2,4,0%,"50,00 %",1%,80
Grupo A,APURE,6,560,7%,"50,00 %",4%,557
Grupo B,COJEDES,6,213,8%,"20,00 %",5%,210
Grupo B,PORTUGUESA,9,565,20%,"20,00 %",28%,1176
Grupo B,YARACUY,7,447,16%,"20,00 %",25%,1050
Grupo B,LARA,13,580,21%,"20,00 %",15%,630
Grupo B,BARINAS,14,1008,36%,"20,00 %",27%,1134
Grupo C,TÁCHIRA,31,664,22%,"20,00 %",18%,1134
Grupo C,MÉRIDA,11,510,17%,"20,00 %",10%,630
Grupo C,TRUJILLO,7,421,14%,"20,00 %",9%,567
Grupo C,ZULIA,20,782,26%,"20,00 %",51%,3213
Grupo C,FALCÓN,20,664,22%,"20,00 %",12%,756
Grupo D,ANZOÁTEGUI,12,1100,38%,"10,00 %",36%,1296
Grupo D,MONAGAS,8,420,14%,"10,00 %",15%,540
Grupo D,NUEVA ESPARTA,10,338,12%,"10,00 %",19%,687
Grupo D,DELTA AMACURO,1,15,1%,"10,00 %",4%,13
Grupo D,BOLÍVAR,12,623,21%,"10,00 %",18%,63
Grupo D,SUCRE,9,430,15%,"10,00 %",8%,288
